['0.00:0.36:0.04', '0.10:-0.02:0.06', '0.10:-0.10:0.14', '0.12:-0.21:0.15', '0.14:-0.50:0.00', '0.00:-0.44:0.33', '0.15:-0.10:0.02', '0.04:0.19:0.04', '0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00']['1:-1:0', '1:-3:1']
['0.10:-0.02:0.06', '0.10:-0.10:0.14', '0.12:-0.21:0.15', '0.14:-0.50:0.00', '0.00:-0.44:0.33', '0.15:-0.10:0.02', '0.04:0.19:0.04', '0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00']['1:-3:1', '1:-3:2']
['0.10:-0.10:0.14', '0.12:-0.21:0.15', '0.14:-0.50:0.00', '0.00:-0.44:0.33', '0.15:-0.10:0.02', '0.04:0.19:0.04', '0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03']['1:-3:2', '1:-3:2']
['0.12:-0.21:0.15', '0.14:-0.50:0.00', '0.00:-0.44:0.33', '0.15:-0.10:0.02', '0.04:0.19:0.04', '0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00']['1:-3:2', '1:-3:1']
['0.14:-0.50:0.00', '0.00:-0.44:0.33', '0.15:-0.10:0.02', '0.04:0.19:0.04', '0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00']['1:-3:1', '2:2:1']
['0.00:-0.44:0.33', '0.15:-0.10:0.02', '0.04:0.19:0.04', '0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01']['2:2:1', '2:-3:2']
['0.15:-0.10:0.02', '0.04:0.19:0.04', '0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00']['2:-3:2', '0:-3:2']
['0.04:0.19:0.04', '0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05']['0:-3:2', '1:-3:2']
['0.13:1.24:0.00', '0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08']['1:-3:2', '0:0:2']
['0.02:0.20:0.42', '0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04']['0:0:2', '2:2:0']
['0.04:0.44:0.02', '0.02:0.25:0.01', '0.15:0.96:0.03', '0.19:-0.27:0.09', '0.11:0.07:0.18', '0.15:0.00:0.24', '0.00:0.26:0.06', '0.04:0.07:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.00:0.02:0.00', '0.09:-0.13:0.00', '0.02:-0.26:0.03', '0.00:-0.11:0.00', '0.04:0.15:0.00', '0.04:-0.04:0.01', '0.01:-0.14:0.00', '0.00:0.13:0.05', '0.01:-0.29:0.08', '0.00:-0.08:0.04', '0.02:-0.27:0.04']['2:2:0', '1:1:0']
