['0.01:0.05:0.04', '0.07:0.08:0.00', '0.11:0.04:0.00', '0.00:0.19:0.02', '0.10:-0.05:0.02', '0.02:0.08:0.03', '0.01:-0.08:0.02', '0.02:0.03:0.02', '0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00']['1:2:1', '0:1:2']
['0.07:0.08:0.00', '0.11:0.04:0.00', '0.00:0.19:0.02', '0.10:-0.05:0.02', '0.02:0.08:0.03', '0.01:-0.08:0.02', '0.02:0.03:0.02', '0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02']['0:1:2', '1:0:0']
['0.11:0.04:0.00', '0.00:0.19:0.02', '0.10:-0.05:0.02', '0.02:0.08:0.03', '0.01:-0.08:0.02', '0.02:0.03:0.02', '0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14']['1:0:0', '1:1:1']
['0.00:0.19:0.02', '0.10:-0.05:0.02', '0.02:0.08:0.03', '0.01:-0.08:0.02', '0.02:0.03:0.02', '0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14', '0.00:-0.10:0.05']['1:1:1', '1:1:0']
['0.10:-0.05:0.02', '0.02:0.08:0.03', '0.01:-0.08:0.02', '0.02:0.03:0.02', '0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14', '0.00:-0.10:0.05', '0.03:-0.08:0.00']['1:1:0', '0:1:1']
['0.02:0.08:0.03', '0.01:-0.08:0.02', '0.02:0.03:0.02', '0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14', '0.00:-0.10:0.05', '0.03:-0.08:0.00', '0.00:-0.03:0.00']['0:1:1', '1:1:0']
['0.01:-0.08:0.02', '0.02:0.03:0.02', '0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14', '0.00:-0.10:0.05', '0.03:-0.08:0.00', '0.00:-0.03:0.00', '0.04:0.04:0.04']['1:1:0', '1:1:2']
['0.02:0.03:0.02', '0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14', '0.00:-0.10:0.05', '0.03:-0.08:0.00', '0.00:-0.03:0.00', '0.04:0.04:0.04', '0.01:0.11:0.00']['1:1:2', '0:2:1']
['0.00:-0.10:0.14', '0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14', '0.00:-0.10:0.05', '0.03:-0.08:0.00', '0.00:-0.03:0.00', '0.04:0.04:0.04', '0.01:0.11:0.00', '0.00:-0.06:0.01']['0:2:1', '2:0:2']
['0.04:0.08:0.00', '0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14', '0.00:-0.10:0.05', '0.03:-0.08:0.00', '0.00:-0.03:0.00', '0.04:0.04:0.04', '0.01:0.11:0.00', '0.00:-0.06:0.01', '0.02:0.02:0.00']['2:0:2', '0:2:1']
['0.01:0.09:0.05', '0.02:-0.18:0.05', '0.03:0.07:0.03', '0.05:-0.17:0.05', '0.00:-0.12:0.08', '0.02:0.01:0.14', '0.12:0.01:0.03', '0.01:0.09:0.06', '0.04:-0.12:0.00', '0.01:-0.48:0.00', '0.00:-0.48:0.08', '0.00:-0.18:0.11', '0.01:0.04:0.06', '0.00:0.18:0.03', '0.10:0.05:0.05', '0.07:0.00:0.07', '0.03:-0.11:0.00', '0.01:-0.03:0.02', '0.00:0.09:0.04', '0.04:0.00:0.01', '0.05:0.02:0.02', '0.04:0.07:0.01', '0.02:0.59:0.00', '0.00:0.50:0.01', '0.09:-0.07:0.13', '0.13:0.22:0.04', '0.06:-0.28:0.00', '0.00:0.25:0.13', '0.00:0.05:0.16', '0.02:0.20:0.00', '0.02:0.33:0.02', '0.01:0.04:0.14', '0.00:-0.10:0.05', '0.03:-0.08:0.00', '0.00:-0.03:0.00', '0.04:0.04:0.04', '0.01:0.11:0.00', '0.00:-0.06:0.01', '0.02:0.02:0.00', '0.00:-0.09:0.00']['0:2:1', '2:2:1']
