['0.0018:-0.0015:0.0006', '0.0028:0.0014:0.0025', '0.0018:0.007:0.0', '0.0026:0.0017:0.0004', '0.001:-0.0044:0.0005', '0.0008:0.0019:0.0008', '0.0005:-0.0038:0.0029', '0.0007:-0.0015:0.0018', '0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002']['2:-1:2', '2:0:1']
['0.0028:0.0014:0.0025', '0.0018:0.007:0.0', '0.0026:0.0017:0.0004', '0.001:-0.0044:0.0005', '0.0008:0.0019:0.0008', '0.0005:-0.0038:0.0029', '0.0007:-0.0015:0.0018', '0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016']['2:0:1', '2:-1:1']
['0.0018:0.007:0.0', '0.0026:0.0017:0.0004', '0.001:-0.0044:0.0005', '0.0008:0.0019:0.0008', '0.0005:-0.0038:0.0029', '0.0007:-0.0015:0.0018', '0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009']['2:-1:1', '1:-3:1']
['0.0026:0.0017:0.0004', '0.001:-0.0044:0.0005', '0.0008:0.0019:0.0008', '0.0005:-0.0038:0.0029', '0.0007:-0.0015:0.0018', '0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007']['1:-3:1', '2:-3:2']
['0.001:-0.0044:0.0005', '0.0008:0.0019:0.0008', '0.0005:-0.0038:0.0029', '0.0007:-0.0015:0.0018', '0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002']['2:-3:2', '2:0:2']
['0.0008:0.0019:0.0008', '0.0005:-0.0038:0.0029', '0.0007:-0.0015:0.0018', '0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014']['2:0:2', '1:3:1']
['0.0005:-0.0038:0.0029', '0.0007:-0.0015:0.0018', '0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003']['1:3:1', '1:-1:1']
['0.0007:-0.0015:0.0018', '0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001']['1:-1:1', '2:-2:1']
['0.0024:-0.0049:0.0008', '0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007']['2:-2:1', '1:3:1']
['0.0033:0.0019:0.0019', '0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012']['1:3:1', '2:3:2']
['0.0021:0.002:0.0005', '0.0032:0.0007:0.0006', '0.0015:-0.0028:0.0006', '0.0013:0.0028:0.0023', '0.0022:-0.0054:0.0027', '0.0017:0.0001:0.0038', '0.002:0.0009:0.0018', '0.0005:-0.0086:0.001', '0.0018:-0.0041:0.002', '0.0001:-0.0029:0.002', '0.0032:-0.0002:0.0016', '0.0024:0.0:0.0009', '0.0009:0.0013:0.0007', '0.0004:-0.0018:0.0002', '0.0005:0.0032:0.0014', '0.0001:0.0004:0.0003', '0.0002:-0.0005:0.0001', '0.0005:0.0006:0.0007', '0.0014:-0.0009:0.0012', '0.0013:-0.0006:0.0018']['2:3:2', '1:-3:1']
