['0.0091:0.0164:0.0037', '0.0008:0.0023:0.0073', '0.0046:-0.0044:0.0032', '0.011:-0.0043:0.0014', '0.0072:-0.003:0.0154', '0.0015:0.0068:0.002', '0.001:0.0084:0.0004', '0.0047:-0.003:0.0063', '0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043']['1:2:2', '2:-3:2']
['0.0008:0.0023:0.0073', '0.0046:-0.0044:0.0032', '0.011:-0.0043:0.0014', '0.0072:-0.003:0.0154', '0.0015:0.0068:0.002', '0.001:0.0084:0.0004', '0.0047:-0.003:0.0063', '0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048']['2:-3:2', '2:-3:2']
['0.0046:-0.0044:0.0032', '0.011:-0.0043:0.0014', '0.0072:-0.003:0.0154', '0.0015:0.0068:0.002', '0.001:0.0084:0.0004', '0.0047:-0.003:0.0063', '0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044']['2:-3:2', '2:1:2']
['0.011:-0.0043:0.0014', '0.0072:-0.003:0.0154', '0.0015:0.0068:0.002', '0.001:0.0084:0.0004', '0.0047:-0.003:0.0063', '0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044', '0.0024:0.0001:0.0016']['2:1:2', '2:3:2']
['0.0072:-0.003:0.0154', '0.0015:0.0068:0.002', '0.001:0.0084:0.0004', '0.0047:-0.003:0.0063', '0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044', '0.0024:0.0001:0.0016', '0.002:0.0039:0.0007']['2:3:2', '2:1:2']
['0.0015:0.0068:0.002', '0.001:0.0084:0.0004', '0.0047:-0.003:0.0063', '0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044', '0.0024:0.0001:0.0016', '0.002:0.0039:0.0007', '0.0013:-0.002:0.0017']['2:1:2', '2:3:1']
['0.001:0.0084:0.0004', '0.0047:-0.003:0.0063', '0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044', '0.0024:0.0001:0.0016', '0.002:0.0039:0.0007', '0.0013:-0.002:0.0017', '0.0015:0.0003:0.0023']['2:3:1', '2:1:2']
['0.0047:-0.003:0.0063', '0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044', '0.0024:0.0001:0.0016', '0.002:0.0039:0.0007', '0.0013:-0.002:0.0017', '0.0015:0.0003:0.0023', '0.0013:0.0017:0.0029']['2:1:2', '2:3:2']
['0.0014:-0.0122:0.0059', '0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044', '0.0024:0.0001:0.0016', '0.002:0.0039:0.0007', '0.0013:-0.002:0.0017', '0.0015:0.0003:0.0023', '0.0013:0.0017:0.0029', '0.005:-0.0028:0.0013']['2:3:2', '2:3:2']
['0.0061:0.0048:0.0043', '0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044', '0.0024:0.0001:0.0016', '0.002:0.0039:0.0007', '0.0013:-0.002:0.0017', '0.0015:0.0003:0.0023', '0.0013:0.0017:0.0029', '0.005:-0.0028:0.0013', '0.0021:-0.0017:0.0023']['2:3:2', '2:-3:2']
['0.0018:0.0031:0.0048', '0.0033:-0.0115:0.0044', '0.0024:0.0001:0.0016', '0.002:0.0039:0.0007', '0.0013:-0.002:0.0017', '0.0015:0.0003:0.0023', '0.0013:0.0017:0.0029', '0.005:-0.0028:0.0013', '0.0021:-0.0017:0.0023', '0.003:0.0006:0.0015']['2:-3:2', '2:3:2']
